,date,title,source,contents,link
200,7일,"미 하원 외교위원장, ""유엔총회서 한일 갈등 중재 나서라"" 트럼프 대통령에 서...",경향신문언론사 선정,엘리엇 엥겔 미국 하원 외교위원장이 한일 갈등과 관련해 도널드 트럼프 미국 대통령에게 유엔총회를 계기로... 하원 외교위원회에 따르면 엥겔 위원장은 최근 트럼프 대통령에게 보낸 서한에서 한일 갈등 격화를 막고...,http://news.khan.co.kr/kh_news/khan_art_view.html?artid=201909231411001&code=970100
201,1시간,"[테마이슈] 풍력에너지 업 14시 상승률 상위 종목, 씨에스윈드 400원(+1.27%)...",하빗슈,"태웅, 한일단조이 차례로 높은 상승률을 보이고 있는 것으로 나타났다. 씨에스윈드의 현재가는 31... 태웅은 -0.70%로 하락세를, 한일단조는 -0.91%로 하락하고 있다. 이어 동국S&amp;C은 -0.97%로 하락, 유니슨 종목은 -2....",http://hobbyissue.co.kr/news/view/89076
202,3일,주가차트 한일단조 주가 27일 현재 1655원,내외경제tv,"●27일 한일단조 주가 현황27일 현재 오후 12시 54분 한일단조(024740) 주가가 전일대비 0.61% 변동된 1,655원에 거래중이다.한일단조 등락률 변동추이를 알아보면,5영업일전 가격은 1,800원이며 시가는 1...",http://nbntv.co.kr/news/view/664660
203,5일,日 “관광객 감소 심각”…한일 재계 “관계복원 절실” 한목소리,서울신문언론사 선정,한일 재계 인사들이 양국간 경제·정치·외교 관계 복원이 필요하다고 의견을 모았다. 한일 갈등이 이어지고 있는 가운데 24일 양국 재계가 공동 주최한 ‘제51회 한일경제인회의’가 이틀 일정으로 서울에서 개막했다. 이날...,https://www.seoul.co.kr/news/newsView.php?id=20190924500162&wlog_tag3=naver
204,3일,"트럼프, 文대통령엔 한일갈등 언급 않더니… 아베한텐 먼저 꺼내고, 불만도 끝...",조선일보언론사 선정,"백악관 ""美日, 3자 안보협력 강조"" 사실상 지소미아 필요성 공감 日 70억달러 농산물시장 美에 개방 후지TV ""트럼프, 아베 총리에게 文대통령 北 신뢰 못받는다고 해"" 中은 康외교에 또 사드 철수 요구 도널드 트럼프 미...",http://news.chosun.com/site/data/html_dir/2019/09/27/2019092700270.html?utm_source=naver&utm_medium=original&utm_campaign=news
205,3일,"김영록 지사.. ""나주 SRF 열병합발전소 현안문제 주민과 함께 풀어가는 것 잘...",뉴스워커,"김영록 도지사 김영록 전라남도지사는 ""나주 SRF 열병합발전소 현안문제는 많은 분들이 관심을 갖고 있는데 행정에서 어려운 부분을 주민과 함께 풀어가는 것은 잘 한 일이다""고 26일 밝혔다. 김 지사는 ""앞으로...",http://www.newsworker.co.kr/news/articleView.html?idxno=43678
206,3일,9월 27일 한일화학 주식창 1.00% 15200원,내외경제tv,"●27일 한일화학 주가 시황27일 현재 오후 12시 38분 한일화학(007770) 주가가 전일대비 1.00% 변동된 15,200원에 거래되며 투자자들의 이목을 집중시키고 있다. 한일화학 등락률 변동치를 살펴보자면...",http://nbntv.co.kr/news/view/664574
207,3일,"한일 외교수장 뉴욕 회동···""소통·협의 지속""",KTV국민방송,또 북한 문제와 관련해 한일 양국간 공조가 중요하다는 데 뜻을 같이 했다고 외교부는 전했습니다. 한일 양국 외교장관은 미래지향적 한일관계를 위해 계속 노력하는 것이 중요하드는 데 공감하고 장관급을 비롯해...,http://www.ktv.go.kr/content/view?content_id=583892
208,1일,"선문대학교, 한일관계 개선 심포지엄 열려... 한일 다문화가정 재학생 주관",브릿지경제,"선문대학교, 한일관계 개선 심포지엄 열려... 한일 다문화가정 재학생 주관 지난 25일 한일 다문화가정에서 자란 대학생들이 선문대학교(총장 황선조)에서 심포지엄을 열었다. 일본 유학생이 어학원생과 대학원생을 포함...",http://www.viva100.com/main/view.php?key=20190929010009393
209,3일,"[27일 09시 풍력에너지 오전의 테마종목] 한일단조,씨에스윈드 등이 주도...",내외경제tv,"09시 36분 현재 풍력에너지주를 견인하고 있는 것은 한일단조 종목이다. 한일단조는 주당 1,670원의 거래가격으로 전일대비+1.52%의 등락률을 기록 풍력에너지테마주를 주도하고 있는 것으로 알려졌다....",http://nbntv.co.kr/news/view/663757
210,3일,"[13시 28분 풍력에너지 오후의 테마종목] 한일단조,씨에스윈드 등이 주도...",내외경제tv,"13시 28분 현재 풍력에너지주를 견인하고 있는 것은 한일단조 종목이다. 한일단조는 주당 1,660원의 거래가격으로 전일대비+0.91%의 등락률을 기록 풍력에너지테마주를 주도하고 있는 것으로 알려졌다....",http://nbntv.co.kr/news/view/664876
211,3일,유엔 총회 계기 한일 외교장관회담(9.26.) 결과,정책브리핑,"(목) 오후 모테기 도시미쓰(茂木 敏充) 일본 외무대신과 한일 외교장관회담을 갖고, 양국관계 현안에 대해... □ 북한문제와 관련하여 양 장관은 한일 양국간 공조가 중요하다는 점에 대해 뜻을 같이 하였다. □ 강 장관과...",http://www.korea.kr/news/pressReleaseView.do?newsId=156352547&call_from=naver_news
212,5일,한일정상 만남 사실상 불발…여사들은 '가벼운 포옹',MBN언론사 선정,유엔총회 참석을 위해 미국 뉴욕을 찾은 문재인 대통령과 아베 신조 일본 총리의 만남이 사실상 불발된 것으로 보입니다. 반면 문 대통령의 부인인 김정숙 여사와 아베 총리의 부인인 아키에 여사는 이날 유니세프 주최...,http://mbn.mk.co.kr/pages/news/newsView.php?category=mbn00006&news_seq_no=3944003
213,5일,"""비온뒤 땅 굳어"" 손잡은 한일 재계…일본측 위기감 고스란히",연합뉴스언론사 선정,일한경제협회·주한일본대사 '日 불매운동 타격' 직접 토로 한일관계 악화의 여파로 무산될 뻔하다가 가까스로 열린 올해 한일경제인회의에서는 일본 수출규제로 인한 자국 내부의 우려가 고스란히 감지됐다. 일본의...,http://yna.kr/AKR20190924140900003?did=1195m
214,3일,9월 27일 한일네트웍스 오늘주식장 -0.21% 4830원,내외경제tv,"●27일 한일네트웍스 종목 현황27일 현재 오후 1시 35분 한일네트웍스(046110) 주가가 전일대비 -0.21% 변동된 4,830원에 거래되며 투자자들의 화제를 모으고 있다.한일네트웍스 등락률 변동추이를 알아보면...",http://nbntv.co.kr/news/view/664916
215,2일,"미 국무부 ""미, 한일 갈등 해결 위해 많은 활동 있어...한일, 과거보다 미래로...",아시아투데이,"국무부 고위당국자 ""한일 갈등 넘기 위한 많은 활동 있고, 계속 그럴 것"" ""폼페이오 국무, 한미일 회담 8번... 국무부 고위 당국자는 26일(현지시간) 미 뉴욕에서 가진 유엔총회의 인도·태평양 현안 관련 브리핑에서 ‘한일군...",http://www.asiatoday.co.kr/view.php?key=20190928010015642
216,4일,"유명희 본부장 ""한일 경제관계 악화…외투기업 역할 중요""",데일리안,"아울러 한일 양국간 신뢰관계가 훼손된 것에 안타까움을 표시하며, 양국이 긴밀한 공조관계를 회복할 수... 참석자들은 한일 관계악화에 대한 일부 우려도 있지만 현재 경영활동에 큰 지장은 없으며, 외투기업이...",http://www.dailian.co.kr/news/view/828988/?sc=naver
217,2일,"日방위백서 韓 언급 순서 인도, 동남아에 밀려...""한일관계 악화 반영""",조선일보,"지지통신은 ""동아시아에서 안보 분야 우위를 유지하기 위해서는 ‘한일 및 한미일의 협력은 필요하다’라는 일본 정부의 방침은 변함없다""면서 ""한국과 일본이 대립한 채로는 주변국만을 이롭게 하는 결과로 이어질 수...",http://news.chosun.com/site/data/html_dir/2019/09/27/2019092702407.html?utm_source=naver&utm_medium=original&utm_campaign=news
218,7일,"일본 외무상 “한국, 한일관계 기초 뒤집어…정정 요구할 것”",SBS CNBC언론사 선정,"한일 관계의 기초를 뒤집었다""며 한국 정부를 다시 비판했습니다. 모테기 외무상은 오늘(22일) NHK '일요토론'에 출연해 ""'구 한반도 출신 노동자' 문제에 대한 한국 대법원의 판결에 따라 한국이 국제법을 위반하고 한일...",https://cnbc.sbs.co.kr/article_hub/10000955924?division=NAVER
