,date,title,source,contents,link
0,2017.12.31.,대사소환에서 위안부합의 검증까지...평행선 달린 한일,YTN,[앵커] 지난 1년 한일 양국이 가장 첨예하게 대립해온 부분은 일제 강점기 위안부 피해자 문제입니다. 부산 총영사관 앞 소녀상 설치에 반발해 주한일본대사가 본국에 소환되면서 시작된 한해가 한일위안부 합의 검증...,http://www.ytn.co.kr/_ln/0104_201712311648559238
1,2017.12.31.,정진학 동양·백의현 한일합섬 사장,한국경제,"한일합섬 대표이사 사장에는 백의현 동양 대표(64)를 임명했다. 유순태 유진그룹 전략기획실 부사장은... 백의현 대표는 한일합섬 섬유사업본부장, 동양 대표를 지냈다. 유순태 부사장은 그룹 신규 사업을 계속...",http://news.hankyung.com/article/2017123127251
2,2017.12.31.,다관왕 노리는 日…달아오른 빙판 위 한일전,서울신문,[서울신문] 일본 여자 스피드스케이팅의 고다이라 나오(31)가 일본 대표 선발전에서 2018 평창동계올림픽 500m·1000m·1500m 출전권을 따냈다. 일본 빙속 대표팀은 금메달 1개를 기대했던 기존의 목표를 ‘복수의...,http://www.seoul.co.kr/news/newsView.php?id=20180101023017&wlog_tag3=naver
3,2017.12.31.,"日, 北 미사일 위협 고조...한일 역사문제 갈등 고조",YTN,"[앵커] 한일 관계와 관련해서는 쉽지 않은 한해였지요? [기자] 역시 과거사 문제, 특히 위안부 피해자... 하지만 우리 정부는 검증 결과 한일위안부 합의 과정에 여러 가지 문제가 있었다고 발표했고 문 대통령은 사실상의...",http://www.ytn.co.kr/_ln/0104_201712312300595000
4,2017.12.31.,"‘졸속·굴욕’ 한일 위안부 협상, 韓日 진실공방 26년만에 새국면?",뉴스핌,"[  한일 위안부 합의 점검 TF(태스크포스)가 한일 위안부 합의에 대해 졸속·굴욕협상으로 결론내면서, 지난 26년간 한국과 일본의 진실공방이 새로운 국면을 맞을지 주목되고 있다. 오태규 한일 일본군위안부 피해자...",http://www.newspim.com/news/view/20171229000146
5,2017.12.31.,"'생방송 일요토론' 위안부 이면합의 공개 파장, 한일관계 어디로? 이장희-진창...",뉴스프리존,"사진 : KBS 한일 위안부 합의를 검증한 TF 보고서가 발표되면서 한일관계에 파장이 예상된다. 2015년 타결 당시 공개되지 않은 '이면합의'가 존재했고, 피해자 의견을 제대로 반영하지 않는 등 총체적인 문제점이 드러났다....",http://www.newsfreezone.co.kr/news/articleView.html?idxno=32764
6,2017.12.31.,"활빈단, 한일위안부 합의 무효...""10억 엔 즉각 되돌려주라""",국제뉴스,"활빈단은 최근  발표된 한일합의 검증 TF 보고서에 드러난 대로 12·28 한·일위안부 합의는 국민과 피해자 할머니들 요구를 반영하지 않은데다 ""가슴아픈 역사적 사실이 담긴 중대한 외교현안에 대해서까지 일방적,굴욕적...",http://www.gukjenews.com/news/articleView.html?idxno=849570
7,2017.12.29.,"추미애 “한일 위안부 합의, 절대로 인정할 수 없어”",브레이크뉴스,"그러면서도 ""우리는 역사는 역사대로 풀고 미래는 미래대로 푼다는 입장""이라며 ""역사는 진실과 원칙을 훼손하지 않고 다루면서도 한·일간의 미래지향적인 협력관계를 포기하지 않아야 한다""고 한일관계에 있어 투...",http://www.breaknews.com/sub_read.html?uid=550841§ion=sc1
8,2017.12.29.,"일본 ""한일 관계 불능될 것""…협박 발언 배경은?",프레시안언론사 선정,2015년 한일 일본군 '위안부' 합의로 위안부 문제가 해결될 수 없다는 점을 언급하며 합의 파기 혹은 재협상을 시사하자 일본 측은 한일 관계가 사실상 파탄날 수 있다고 위협하는 한편 아베 신조(安倍晋三) 총리의 평창...,http://www.pressian.com/news/article.html?no=181109&utm_source=naver&utm_medium=search
9,2017.12.28.,"문재인 대통령, '한일 위안부 합의' 사실상 파기 선언",인사이트,"[인사이트] 황규정 기자 = 문재인 대통령이 '한일 위안부 합의'로는 일본군 성노예 문제를 해결할 수 없다며... 그러면서도 ""한일 양국이 불행했던 과거의 역사를 딛고 진정한 마음의 친구가 되기를 바란다. 그런 자세로...",http://www.insight.co.kr/news/132497
