,date,title,source,contents,link
0,2010.12.31.,"소녀시대, 전세기 타고 한일 시상식 참석해 눈길",SBS(text),높은 인기 덕분에 한일 양국에서 열리는 연말 시상식의 초청을 받았는데요. 팬들을 위해 전세기를 타고 한... 세시간만에 한일 양국의 시상식에 참석한 건데요. 전세기의 시간당 이용료는 약 500만 원으로 알려졌죠. 한국과...,http://news.sbs.co.kr/section_news/news_read.jsp?news_id=N1000840560
1,2010.12.30.,"소녀시대, 전세기 타고 한일 시상식 참석",맥스무비,[맥스무비=연예] 소녀시대가 연말 한일 양국의 시상식과 음악 프로그램에 참가하기 위해 전세기를 대동했다. 소녀시대는 30일 열리는 KBS &lt;2010 가요대축제&gt;와 같은 날 일본에서 열리는 TBS &lt;일본 레코드 대상&gt;에 모두...,http://www.maxmovie.com/movie_info/ent_news_view.asp?mi_id=MI0091251356
2,2010.12.31.,"""현빈이 안 나온다고?"" 한일 연예인 친선야구 '환불 소동'",마이데일리,[ 연예인 야구단 '플레이보이즈'와 일본 프로야구 레전드의 친선경기를 앞두고 한국 연예인 참석 여부에 따른 환불 소동이 일어났다. '플레이보이즈'는 내년 1월 2일 오후 6시 일본 도쿄돔에서 일본 프로야구 레전드들과...,http://www.mydaily.co.kr/news/read.html?newsid=201012311411481115&ext=na
3,2010.12.31.,[포토엔]한일 석권한 소녀시대 ‘KBS 가요대축제’ 최고인기상 수상,뉴스엔,"[ 2010년을 뜨겁게 달궜던 한국 최고의 가수들이 한자리에 모인 'KBS 가요대축제'가 12월 30일 오후 서울 여의도 KBS홀에서 열렸다. '하모니'라는 주제로 열린 'KBS 가요대축제'는 스타 선,후배 가수들이 함께 만든...",http://www.newsen.com/news_view.php?uid=201012310118381002
4,2010.12.30.,한일시멘트그룹 인사 단행..중원전기 사장에 신영훈씨,파이낸셜뉴스,"한일시멘트그룹은 중원전기 신영훈 부사장(52)을 중원전기 대표이사 사장으로, 한일건설 함재우 전무(57)를 한일건설 부사장으로, 한덕개발(서울랜드) 최형기 전무(52)를 한덕개발 부사장으로 승진 발령하는 등 모두 14명의...",http://www.fnnews.com/view?ra=Sent0601m_01A&corp=fnnews&arcid=0922187845&cDateYear=2010&cDateMonth=12&cDateDay=30&
5,2010.12.31.,[경제계 인사]한일시멘트그룹 임원 14명 인사/ 중원전기 사장 신영훈 씨,동아일보,[동아일보] 한일시멘트그룹은 30일 신영훈 중원전기 부사장(52·사진)을 중원전기 대표이사 사장으로 승진 임명하는 등 14명의 임원에 대해 정기인사를 실시했다. ◇한일시멘트 &lt;승진&gt; △전무 최덕근 △상무보 홍성윤...,http://news.donga.com/3/all/20101230/33617890/1
6,2010.12.31.,"＜생생코스피＞한일건설, 벽안디앤씨에 451.6억원 규모 채무보증 결정",헤럴드POP,한일건설(006440)은 시행사인 벽안디앤씨에 451억6514만6537원 규모의 채무보증 결정을 했다고 지난 30일 공시했다. 이는 자기자본대비 15.76%이며 채무보증기간은 2011년 12월 26일까지이다.,http://biz.heraldm.com/common/redirect.jsp?category_id=010106060000&news_id=20101231000296
7,2010.12.30.,"한일건설, 벽안디앤씨에 451억원 규모 채무 보증",이데일리,"한일건설(006440)은 시행사인 벽안디앤씨의 채무에 대해 451억원 규모 채무보증을 결정했다고 30일 공시했다. ▶ 찌라시는 가라!.. 하루 두번 무료로 만나보세요. ▶ 이데일리ON, 문자로 시세,추천,진단,상담정보...",http://www.edaily.co.kr/news/newspath.asp?newsid=02915926593203768
8,2010.12.31.,[요코야마의 한일 이야기] 친절하게 산다는 것의 어려움,매일신문,2010년이 가고 2011년의 새 달력이 벽에 걸렸다. 새로운 한 해가 시작됐다. 우리집에서는 연초에 신사나 절에 참배를 가는 것이 관례였다. 그럴 때마다 시주 동전을 던지고 나면 무엇을 빌어야 할지 생각이 나지 않아...,http://www.imaeil.com/sub_news/sub_news_view.php?news_id=21&yy=2011
9,2010.12.30.,[인사] 한일시멘트그룹 ; 노루그룹 ; 파라다이스그룹 등,한국경제,◈한일시멘트그룹 ⊙승진◇한일시멘트▷전무 최덕근▷상무보 홍성윤◇한일산업▷상무 이정원 김진수▷상무보 홍순거 ◇한일건설▷전무 서관식▷전무대우 이명권◇중원전기▷상무 서원호▷이사 김용근 김석철...,http://www.hankyung.com/news/app/newsview.php?aid=2010123066671
