,date,title,source,contents,link
1890,2012.08.10.,한일전 승리시 혜택도 풍성,KBS TV,"한일전을 이겨야 하는 이유는 여러가지가 있습니다. 숙적 일본과의 자존심 싸움, 그리고 올림픽 첫 메달의... 김창수(축구 국가대표) : ""3,4위전 한일전인데 일본한테 강하다는걸 보여주고 싶고, 꼭 동메달 획득해서......",http://news.kbs.co.kr/sports/soccer/2012/08/10/2517303.html
1891,2012.10.12.,[국내ㆍ외 뉴스] 한일 재무장관회의 개최 합의,강원도민일보,한일 양국이 독도 다툼과 맞물려 연기됐던 제5차 한일 재무장관회의를 적절한 시점에 서울에서 열기로 합의했다. 국제통화기금(IMF) 연차총회 참석차 일본을 방문한 박재완 기획재정부 장관은 11일 도쿄 제국호텔에서...,http://www.kado.net/news/articleView.html?idxno=591161
1892,2012.08.15.,"일본 각료, 신사 참배...한일 관계 악화",YTN,""" 노다 요시히코 총리를 비롯한 16명의 각료는 야스쿠시신사에 참배하지 않았지만, 이명박 대통령의 독도 방문 등으로 균열된 한일 관계가 이번 야스쿠니 신사 참배로 더욱 심화될 것으로 보입니다.",http://www.ytn.co.kr/_ln/0104_201208151509483846
1893,2012.09.09.,"한일 외교장관, 블라디보스토크서 회동 “상호 냉정히 대응”",파이낸셜뉴스,한일 간 갈등이 일단 봉합되는 계기가 마련될 수 있을 것으로 예상된다. 외교통상부에 따르면 이 대통령을 수행중인 김성환 외교통상부 장관은 이날 저녁 APEC 공식 만찬에서 겐바 외무상과 잠시 환담하면서 한일관계...,http://www.fnnews.com/view?ra=Sent0801m_01A&corp=fnnews&arcid=201209090100067830003907&cDateYear=2012&cDateMonth=09&cDateDay=09&
1894,2012.08.30.,< U20여자월드컵> FIFA '한일전 정치적 응원 안돼',연합뉴스,일본에서는 이번 한일전에 대한 관심이 상당하다. 도쿄 한복판에서 라이벌팀 한국과 맞붙는데다 지난해... 등 한일전에 대한 높은 관심을 반영했다. 양국 사이에 감도는 공기가 심상치 않자 FIFA도 바짝 긴장했다....,http://sports.news.naver.com/general/news/read.nhn?oid=001&aid=0005785636
1895,2012.08.20.,"최경림 FTA대표 ""FTA 논의에 한일 갈등 영향 없다""",연합뉴스,"2004년 중단된 한일 FTA 논의는 일본의 요청에 따라 이를 재개하기 위한 실무협의 진행단계다. 그러나 FTA 논의재개를 위해서는 비관세 장벽 해소, 농산물 시장개방 등 사전에 환경조성이 먼저 이뤄져야 한다는 우리측...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=101&oid=001&aid=0005766738
1896,2012.09.04.,"구미 도봉초, 한일 학생 작품 교류 참가",경북일보,"33회 한일 학생 작품 교류(그림, 작문)전'에 참가해 그림부문 은상 1명, 동상3명, 장려 3명, 입선 30명이, 작문 부문은 은상1명, 동상2명, 장려4명, 입선 20명 총 64명이 수상하는 큰 성과를 거뒀다. 올해 33회째 맞이한 한일...",http://www.kyongbuk.co.kr/main/news/news_content.php?id=595338&news_area=080&news_divide=&news_local=21&effect=4
1897,2012.10.19.,"[포토] JYJ, 2012년 한일교류종합전 공식 홍보대사로 위촉!",한국경제,"한류스타 JYJ가 코트라 본관 취리히홀에서 열린 한일교류종합전 홍보대사 위촉식에서 포즈를 취하고 있다. 한편 문화 한류를 경제 한류로 도약하고, 한일 양국 비즈니스 활성화를 위한 2012 한일교류종합전은...",http://wstarnews.hankyung.com/apps/news?popup=0&nid=01&c1=01&c2=01&c3=00&nkey=201210171147391&mode=sub_view
1898,2012.08.13.,"李대통령 독도방문, 한일갈등 뒷감당은 어쩌나",뉴스1,"여기에 한일 간 셔틀외교의 잠정 중단까지 고려하고 있는 것으로 알려지며, 이 정도의 한일 간 외교 갈등을 감수하면서까지 이 시점에서 독도를 방문했어야 했느냐는 의문도 제기되고 있다. 이 대통령의 독도 방문은...",http://news1.kr/articles/775219
1899,2012.09.03.,"한일 WHO 전통의학협력센터, 전통의학 발전에 힘모아",디지털타임스,한국한의학연구원은 지난달 31일 일본 도쿄에서 한국과 일본 양국의 세계보건기구(WHO) 전통의학협력센터 5곳이 양국 전통의학 발전을 위한 양해각서(MOU)를 체결했다고 3일 밝혔다. 협약을 체결한 기관은 한의학연을...,http://www.dt.co.kr/contents.html?article_no=2012090402012169731003
1900,2012.08.13.,"李대통령 독도방문, 한일갈등 뒷감당은 어쩌나",뉴스1,"여기에 한일 간 셔틀외교의 잠정 중단까지 고려하고 있는 것으로 알려지며, 이 정도의 한일 간 외교 갈등을 감수하면서까지 이 시점에서 독도를 방문했어야 했느냐는 의문도 제기되고 있다. 이 대통령의 독도 방문은...",http://news1.kr/articles/775219
1901,2012.09.03.,"한일 WHO 전통의학협력센터, 전통의학 발전에 힘모아",디지털타임스,한국한의학연구원은 지난달 31일 일본 도쿄에서 한국과 일본 양국의 세계보건기구(WHO) 전통의학협력센터 5곳이 양국 전통의학 발전을 위한 양해각서(MOU)를 체결했다고 3일 밝혔다. 협약을 체결한 기관은 한의학연을...,http://www.dt.co.kr/contents.html?article_no=2012090402012169731003
