,date,title,source,contents,link
0,2018.12.31.,"한일장신대 직원노조, 전주영아원에 후원금품 전달",한국대학신문,직원노조 관계자들이 28일 전주영아원에 방문해 기부금과 각종 생필품 등을 전달했다. ?한일장신대학교(총장 구춘서)는 28일 직원노동조합이 전주영아원에 후원했다고 밝혔다. 직원노조 송범용 지부장과 이준영 총괄팀장...,http://news.unn.net/news/articleView.html?idxno=205323
1,2018.12.31.,"[UFC] 강경호, 내년 2월 한일전 ... 이시하라 테루토와 격돌",뉴스핌,?UFC의 강경호가 내년 2월 한일전을 벌인다. 세계 최대 종합격투기 단체 UFC는 31일 “강경호(31·부산팀매드)가 내년 2월10일 호주 멜버른 로드 레이버 아레나에서 열리는 UFC 234에서 일본의 이시하라 테루토(27)와...,http://www.newspim.com/news/view/20181231000446
2,2018.12.31.,한일현대시멘트오늘증시 31일 현재 42150원,내외경제tv,"▲한일현대시멘트의 주가정보 ▲지난 2주간 한일현대시멘트 장 마감 시세 ●31일 한일현대시멘트 주가 현황 31일 현재 오전 9시 41분 한일현대시멘트(006390) 주가가 전일대비 1.57% 변동된 42,150원에...",http://www.nbntv.co.kr/news/articleView.html?idxno=152688
3,2018.12.31.,"""한일 일본군'위안부' 합의 무효를 촉구한다""",경남도민신문,"""2015년 12월 28일 한일 일본군'위안부' 합의는 무효다. 합의 파기를 촉구한다"" 일본군강제성노예피해자... 2015 한일합의를 즉각 폐기할 것 ▲대한민국 정부는 굴욕적 한일합의를 단호히 무효 선언할 것 ▲양승태 사법부가...",http://www.gndomin.com/news/articleView.html?idxno=191811
4,2018.12.31.,"‘아시아의 별’ 보아 단독콘서트 성료, 한일 히트곡부터 퀸 커버곡까지 ‘특...",컨슈머타임스,"보아(BoA, SM엔터테인먼트 소속)가 단독 콘서트로 2018년 활동의 대미를 화려하게 장식했다.보아는 12월 29일과 30일 양일간 서울 광장동 예스24 라이브홀에서 ‘BoA THE LIVE 2018 in SEOUL’(보아 더 라이브 2018 인 서울)...",http://www.cstimes.com/?mod=news&act=articleView&idxno=293526
5,2018.12.31.,"""日 초계기, 광개토대왕함에 저공 위협비행""…한일 갈등 악화",TV조선,"아베 정부가 '초계기 영상'을 공개하면서 한일 갈등이 악화되고 있습니다. 이 영상을 보면 초계기 위협 비행이 드러나는데, 가미카제식 위협 비행이라는 분석도 나왔습니다. 송지욱 기자입니다. [리포트] 일본 방위성이...",http://news.tvchosun.com/site/data/html_dir/2018/12/31/2018123190038.html
6,2018.12.31.,[이경 상근부대변인 논평] 의도적으로 ‘한일 레이더 갈등’을 부추기는 아베...,더불어민주당,의도적으로 ‘한일 레이더 갈등’을 부추기는 아베 정권에 한 마디도 못하는 자유한국당은 어느 나라... 이럴 때 대한민국의 국회가 한 목소리로 ‘한일관계를 의도적으로 악화시켜 국내 정치 입지 회복에 활용하려는...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=123&oid=305&aid=0000024015
7,2018.12.31.,12월 31일 한일진공 오늘증권시세 1165원 1.75%,내외경제tv,"▲한일진공의 주가정보 ▲지난 2주간 한일진공 장 마감 시세 ●31일 한일진공 주가 현황 31일 현재 오후 1시 07분 한일진공(123840) 주가가 전일대비 1.75% 변동된 1,165원에 거래되고 있다. 한일진공 등락률...",http://www.nbntv.co.kr/news/articleView.html?idxno=153721
8,2018.12.31.,12월 31일 한일철강 주식주가 4.07% 19200원,내외경제tv,"▲한일철강의 주가정보 ▲지난 2주간 한일철강 장 마감 시세 ●31일 한일철강 주가 현황 31일 현재 오전 9시 22분 한일철강(002220) 주가가 전일대비 4.07% 변동된 19,200원에 거래되고 있다. 한일철강 등락률...",http://www.nbntv.co.kr/news/articleView.html?idxno=152596
9,2018.12.31.,한일화학주식장 31일 현재 10450원,내외경제tv,"▲한일화학의 주가정보 ▲지난 2주간 한일화학 장 마감 시세 ●31일 한일화학 주가 현황 31일 현재 오전 10시 55분 한일화학(007770) 주가가 전일대비 1.95% 변동된 10,450원에 거래되고 있다. 한일화학...",http://www.nbntv.co.kr/news/articleView.html?idxno=153070
