,date,title,source,contents,link
0,2013.12.31.,"한일, 내주 영사국장회의 개최…일반교류는 지속",연합뉴스,한일 양국이 다음달 10일 부산에서 제17차 영사국장회의를 개최한다고 외교부가 31일 밝혔다. 이번... 한일 양국 외교부의 영사국장이 수석대표로 참석하는 이 회의는 서울과 도쿄를 오가며 한해 1차례 개최되고 있다....,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0006676733
1,2013.12.31.,현대차 협력업체 한일이화 파업 절차,뉴시스,= 현대자동차의 주요 협력업체인 한일이화 노조가 파업 절차를 밟고 있다. 금속노조 울산지부 한일이화지회는 31일 오전 조합원 470여 명을 상대로 쟁의행위 찬반투표를 했다. 지회는 30일 부산지방노동위원회에...,http://www.newsis.com/ar_detail/view.html?ar_id=NISX20131231_0012629931&cID=10201&pID=10200
2,2013.12.30.,윤병세 “한일관계 타격 불가피”…외통위 ‘규탄결의안’ 채택,KBS,"윤병세 외교부 장관은 한일 관계에 대해 ""역사 인식과 과거사 문제 등에 대해서는 원칙에 입각해서 확고한... 윤 장관은 오늘 국회 외교통일위원회에 출석해 일본 아베 신조 총리의 야스쿠니 신사 참배로 한일 관계에...",http://news.kbs.co.kr/news/NewsView.do?SEARCH_NEWS_CODE=2780498&ref=A
3,2013.12.31.,"포항 한일 축구 U-18 스토브리그, 수확 얻으며 종료",조이뉴스24,포항시와 (주)HM SPORTS 주최·주관으로 진행된 포항 한·일 축구 18세 이하(U-18) 스토브리그가 명분과 실리를 모두 얻으며 마무리 됐다. 지난 26일부터 포항 양덕 스포츠타운에서 시작된 스토브리그는 30일을 끝으로...,http://joynews.inews24.com/php/news_view.php?g_menu=702210&g_serial=794605&rrf=nv
4,2013.12.30.,윤병세 외교 “한일관계 타격 불가피”,BBS NEWS,"윤병세 외교부 장관은 한일 관계에 대해 “역사인식, 과거사 문제 등에 대해서는 원칙에 입각해 확고한 대응... 어려운 한일 관계에 타격이 불가피하다”면서 이같이 말했습니다. 윤 장관은 “일본 지도자들의 잘못된...",http://www.bbsi.co.kr/news/news_view.asp?nIdx=631618
5,2013.12.31.,2년간 단절 한일 '셔틀 정상외교'…기약 없어,연합뉴스TV,2년간 단절 한일 '셔틀 정상외교'…기약 없어 [앵커] 세밑 국제사회를 강타한 일본 아베 총리의 야스쿠니 도발로 내년 한일관계는 역대 최악의 길을 걸을 것이라는 우려가 나옵니다. 정상회담이 언제쯤 다시 열리게 될 지...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=422&aid=0000042280
6,2013.12.31.,"한일학원, 서서울중앙교회 심은정 권사 이사장 선출",국민일보,한영신학대학교(총장 한영훈 목사)을 운영하고 있는 학교법인 한일학원은 지난 30일 개최된 제185차 이사회에서 서서울중앙교회 심은정 권사(사진)를 새이사장으로 선출했다. 이사장 임기는 4년이다....,http://news.kukinews.com/article/view.asp?page=1&gCode=kmi&arcid=0007895890&cp=nv
7,2013.12.30.,"""한일관계 타격 불가피""...새해에도 악재 줄줄이",YTN,[앵커] 아베 신조 일본 총리의 야스쿠니 신사 참배로 한일 관계에 타격이 불가피 하다고 윤병세 외교부 장관이 밝혔습니다. 새해에도 한일 관계에 악재가 될 만한 일정들이 줄줄이 예정돼 있어 두 나라 사이 관계 개선의...,http://www.ytn.co.kr/_ln/0101_201312301828360711
8,2013.12.30.,"한일장신대 신학대학원 동문회, 후배사랑 장학금 후원",전북도민일보,한일장신대학교(총장 오덕호) 신학대학원 동문회(회장 임정근 목사?다음세대를 품는 교회)에서 재학생들을 위한 사랑의 장학금을 후원했다. 구랍 30일 임정근 회장 등 동문회 임원단은 오덕호 총장을 예방하고 신학대학원...,http://www.domin.co.kr/news/articleView.html?idxno=1008868
9,2013.12.30.,"윤병세 ""한일 간 외교·안보일정 재개, 상당기간 어렵다""",머니투데이,"윤병세 외교부 장관은 30일 일본 아베 신조 총리의 야스쿠니 신사 참배에 따른 한일관계 영향과 관련, ""앞으로... 윤 장관은 이날 국회에서 열린 국회 외통위 현안보고에서 '아베 총리의 야스쿠니 신사 참배가 한일...",http://www.mt.co.kr/view/mtview.php?type=1&no=2013123011104452077&outlink=1
10,2013.12.30.,고이즈미 참배땐 두달후 한일정상회담…이번엔 달라,연합뉴스,당시 고이즈미 총리의 야스쿠니 참배 후 2개월 만에 전격적으로 한일 정상회담이 열렸지만 이번에는 당분간 한일정상회담이 어려울 것이라는 전망이 우세하다. 고이즈미는 총리 취임 후 4개월이 지난 2001년 8월 야스쿠니...,https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0006674894
11,2013.12.30.,"한일시멘트-삼표, 드라이모르타르 사업서 신경전",머니투데이,시장을 장악하고 있는 한일시멘트가 삼표로 이직한 전직 직원에 대해 영업비밀 유출 의혹을 제기하는 등 고소전으로 번지는 모양새다. 30일 시멘트업계에 따르면 올 초 한일시멘트에서 삼표로 이직한 A씨를...,http://www.mt.co.kr/view/mtview.php?type=1&no=2013122709322755218&outlink=1
12,2013.12.29.,"정부, '한일 국방당국 부서간 교류논의' 계획 취소",연합뉴스,"마사노리 차관은 한일정보보호협정 체결이 지연되고 있기 때문에 대안으로 국방 당국의 정책부서 간 정보 교류가 필요하다는 취지로 이를 제안한 것으로 알려졌다. 소식통은 ""우리 정부 내에서도 한일정보보호협정은...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0006673395
13,2013.12.29.,"앞 안보이는 한일관계, 내년에도 '악재' 수두룩",연합뉴스,"변수 ""한일관계가 탈출구를 못 찾고 터널에 갇힌 느낌이다""(윤병세 외교부 장관, 지난 8월 23일 방한한 마에하라 세이지(前原誠司) 전 일본 외무상을 만난 자리에서) 한일관계는 지난 26일 아베 신조(安倍晋三) 일본 총리의...",https://news.naver.com/main/read.nhn?mode=LSD&mid=sec&sid1=100&oid=001&aid=0006673510
14,2013.12.29.,"[WKBL] [포토] 한국 농구꿈나무들, 한일 친선전서 또 완승",점프볼,"29일 용인실내체육관에서 열린 2013 한일 여자초등학교 친선대회에서 서울, 경기지역 초등학생들로 구성된 WKBL팀이 일본 카가와 엔젤스(Kagawa Angels)팀에게 70-40, 30점차의 완승을 거뒀다. 지난 7월 일본에서...",http://sports.news.naver.com/general/news/read.nhn?oid=065&aid=0000077756
15,2013.12.30.,한일전 우승-비선수 그랑프리 챔프…경륜 10대뉴스,스포츠동아,"한국, 경륜 한일전 1, 2위 싹쓸이 11월 광명스피돔에서 열린 경륜한일전은 일본의 스타급 강자들이 대거 출전했고 처음으로 정식발매 경주로 시행됐다. 결승에서 김민철과 박용범은 일본 선수들을 제치고 나란히 1, 2위를...",http://sports.donga.com/3/all/20131230/59871075/1
16,2013.12.29.,"벼랑 끝 한일, 관계 개선 돌파구 '막막'",천지일보,경색된 한일관계는 내년에도 냉각기를 면치 못할 것으로 보인다. 한일관계에 악재가 될 수 있는 민감한 행사들이 줄줄이 열리기 때문이다. 2월 22일 열리는 일본 시마네현의 '다케시마(독도)의 날' 행사는 양국 간 갈등의...,http://www.newscj.com/news/articleView.html?idxno=220522
17,2013.12.29.,"'한일 U-18 스토브리그 참가' 전우근 감독 ""팀 청사진에 많은 도움""",마이데일리,향후에도 한일 U-18 스토브리그가 계속 지속되길 바란다. 처음 개최된 리그지만 개인적으로 경기운영과 환경이 퍼펙트하다고 생각한다. 우수한 한국팀과 맞붙게 되어 많은걸 배워 간다”며 리그에 대한 소감을...,http://www.mydaily.co.kr/new_yk/html/read.php?newsid=201312291310172239&ext=na
18,2013.12.28.,"포항 한일 U-18 스토브리그 2일차, 한국 팀들의 완승 질주",OSEN,"향후에도 한일 U-18 스토브리그가 계속 지속되길 바란다. 처음 개최된 리그지만 개인적으로 경기운영과 환경이 퍼펙트하다고 생각한다. 우수한 한국팀과 맞붙게 되어 많은걸 배워 간다""고 리그 참가 소감을 전했다....",http://www.osen.co.kr/article/G1109751870
19,2013.12.29.,한일장신대 실용음악학과 졸업앨범 발표,새전북신문,"한일장신대학교(총장 오덕호) 예술학부 실용음악학 4학년 학생들이 졸업을 앞두고 졸업앨범 'Innocent Cherish'을 발표했다. 특히 이 앨범은 21명의 학생들이 작사, 작곡, 보컬, 연주는 물론 프로듀싱까지 맡아 화제다....",http://www.sjbnews.com/news/articleView.html?idxno=450211
20,2013.12.28.,벼랑에 선 한일 관계…외교 일정 전면보류,SBS(text),"참배로, 한일관계는 날씨만큼 꽁꽁 얼어붙고 있습니다. 양국 간의 외교 일정도 줄줄이 보류될 것으로 보입니다. 문준모 기자의 보도입니다. &lt;기자&gt; 지난 10월 APEC 정상회의 때 눈 한 번 마주치지 않는 한일 두 정상의...",http://news.sbs.co.kr/section_news/news_read.jsp?news_id=N1002155632
21,2013.12.30.,"공주한일고등학교, 이웃과 함께하는 다양한 기부 '훈훈'",대전투데이,"공주한일고등학교(교장 신현보)가 학생들뿐만 아니라, 교사, 학부모까지 합세해 주변의 어려운 이웃을 위한 기부활동을 펼쳐 주위를 훈훈하게 하고 있다. 27일 시에 따르면, 공주한일고등학교 학생회(회장 김성한)는...",http://www.daejeontoday.com/news/articleView.html?idxno=306290
